cement,Flyash ,Slag ,Water ,Superplasticizer ,Coarseagg,Fineagg,CuringDays,Porosity,Strength,Total_cost
350,105,0,157.5,0,1191.666667,595.8333333,365,8.8,35.6383,8295.555556
350,140,0,157.5,0,1168.333333,584.1666667,365,9.5,57.1809,8780.111111
350,0,0,175,0,1250,625,365,10.8,59.0426,6996.666667
350,35,0,175,0,1226.666667,613.3333333,365,10.2,57.7128,7481.222222
350,70,0,175,0,1203.333333,601.6666667,365,9.6,41.7553,7965.777778
350,105,0,175,0,1180,590,365,9.9,41.7553,8450.333333
350,140,0,175,0,1156.666667,578.3333333,365,10.4,39.0957,8934.888889
350,0,0,192.5,0,1238.333333,619.1666667,365,11.8,33,7151.444444
350,35,0,192.5,0,1215,607.5,365,10.9,28.4,7636
350,70,0,192.5,0,1191.666667,595.8333333,365,10.2,25.08,8120.555556
350,105,0,192.5,0,1168.333333,584.1666667,365,10.6,19.68,8605.111111
350,140,0,192.5,0,1145,572.5,365,11.3,17.81,9089.666667
301,0,0,182.0000001,0,1072.57187,844.4281297,28,16,10.68,6533.352705
321,0,0,175.0000001,1.000000065,1064.738794,838.2612053,28,16,13.85,6684.275121
341,100,0,181.9999999,1.750000065,993.8365384,781.4134616,28,15.9,11.81,8338.113465
380,190,0,155.0000001,6.00000012,934.0356762,734.9643236,28,16.8,8.6,9901.62617
301,0,0,182.0000001,0,1072.57187,844.4281297,28,13.8,4.68,6533.352705
321,0,0,175.0000001,1.000000065,1064.738794,838.2612053,28,12.6,5.35,6684.275121
341,100,0,181.9999999,1.750000065,993.8365384,781.4134616,28,14.4,5.21,8338.113465
380,190,0,155.0000001,6.00000012,934.0356762,734.9643236,28,15.2,3.7,9901.62617
591,0,0,206.85,4.099999854,1007.713966,590.3360337,1,7.18,2.01,9319.6569
532.0000002,0,58.99999985,206.85,4.099999854,1010.99002,587.0599805,1,8.56,46.56,9687.859338
472.9999997,0,118.0000003,206.85,4.099999854,1014.287443,583.7625571,1,9.62,39.66,10056.07745
355,0,236,206.85,4.099999854,1019.608295,578.4417051,1,11.16,38.29,10791.57941
414,0,0,207,0.400000176,1023.404967,755.1950326,1,12.07,30.52,7673.43032
371.9999999,0,41.0000001,206.5,0.399999999,1026.088448,754.0115521,1,12.12,26.89,7916.798196
330.9999999,0,83.00000009,207,0.400000176,1027.049139,751.5508604,1,12.66,23.56,8190.702713
248.0000002,0,164.9999998,206.5,0.399999999,1031.588624,748.5113758,1,12.9,20.06,8689.631656
296,0,0,207.2,0,1032.207159,864.592841,1,13.43,14.92,6698.28525
265.9999999,0,29.00000008,206.5,0,1033.132271,865.3677292,1,13.29,12.42,6864.096999
237.0000001,0,58.9999999,207.2,0,1033.941961,862.8580392,1,14.14,11.75,7065.357437
177,0,118,206.5,0,1037.775562,860.7244382,1,15.28,10.97,7419.302079
591,0,0,206.85,4.099999854,1007.713966,590.3360337,3,6.06,6.68,9319.6569
532.0000002,0,58.99999985,206.85,4.099999854,1010.99002,587.0599805,3,6.89,54.65,9687.859338
